Modelo,Defectos,Estandar,Fecha/Hora,Falta de soldadura,Exceso de soldadura,Cortos,Comp. dañado,Falta de conector,Conector levantado,Comp. levantado,Bola de soldadura,Pin largo,Exceso de goma,Pin plastico derretido,Esfera de soldadura,PCB Quemada,Solder Mask levantado,PCB Ampollada,Efecto lapida
Lion Mite,0,20,22/07/2026 09:44:12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,1,20,22/07/2026 09:44:21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 09:44:27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 09:44:28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,3,20,22/07/2026 09:44:37,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 09:44:40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 11:47:28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,6,20,22/07/2026 11:47:38,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 11:47:53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 11:52:43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,3,20,22/07/2026 11:52:50,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 11:52:52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 12:06:01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 12:06:02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 12:06:03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 12:06:03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,6,20,22/07/2026 12:06:13,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 12:06:17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 12:06:18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 12:06:18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 12:06:18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 12:06:18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
