Sesion,Modelo,NumeroParte,Posicion,Renglon,Columna,ID_PCB,Resultado,Defectos,DescripcionOtro,DetalleDefectos,Fecha/Hora,Falso rechazo,Falta de soldadura,Exceso de soldadura,Cortos,Circuito abierto,Componente faltante,Componente equivocado,Componente desplazado,Componente levantado,Componente dañado,Efecto lápida,Polaridad invertida,Rotación incorrecta,Pin doblado,Pin sin soldar,Pin largo,Conector levantado,Conector faltante,Bola de soldadura,Junta fría,PCB quemada,PCB ampollada,Máscara antisoldante levantada,Pad levantado,Contaminación,Exceso de flux,Otro
SES-20260806-095345-635726,Lion Mite,635726,PCB 1,4,5,6357264567843432,FAIL,1,,Falta de soldadura: J2,06/08/2026 09:54:24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SES-20260806-095345-635726,Lion Mite,635726,PCB 2,4,4,,PASS,0,,,06/08/2026 09:54:24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SES-20260806-095345-635726,Lion Mite,635726,PCB 3,4,3,,PASS,0,,,06/08/2026 09:54:24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SES-20260806-095345-635726,Lion Mite,635726,PCB 4,4,2,,PASS,0,,,06/08/2026 09:54:24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SES-20260806-095345-635726,Lion Mite,635726,PCB 5,4,1,,PASS,0,,,06/08/2026 09:54:24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SES-20260806-095345-635726,Lion Mite,635726,PCB 6,3,5,,PASS,0,,,06/08/2026 09:54:24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SES-20260806-095345-635726,Lion Mite,635726,PCB 7,3,4,,PASS,0,,,06/08/2026 09:54:24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SES-20260806-095345-635726,Lion Mite,635726,PCB 8,3,3,,PASS,0,,,06/08/2026 09:54:24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SES-20260806-095345-635726,Lion Mite,635726,PCB 9,3,2,,PASS,0,,,06/08/2026 09:54:24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SES-20260806-095345-635726,Lion Mite,635726,PCB 10,3,1,,PASS,0,,,06/08/2026 09:54:24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
